#=============================
#
# タイル情報
# Author : Fujiwara Masato
#
#  	 0 壁.歩行不可能など
# 	 1 歩行可能
#	 2 敵判定用
#=============================

SCRIPT

------- 0 -------
	TYPE = 0
	TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    
------- 1 -------
    TYPE = 0
    TYPE = 2
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 2
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 2
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 1
    TYPE = 2
    TYPE = 0
    
------- 2 -------
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    
------- 3 -------
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    
------- 4 -------
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 1
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
    TYPE = 0
